Countries,ExportValue,ImportValue,Year,Latitude,Longitude
Finland,132.1,25.7,2003,62.716,26.192
Denmark,201.3,202.5,2018,56.113,9.096
Denmark,207,201.3,2015,56.113,9.096
Denmark,224.5,199.3,2013,56.113,9.096
Denmark,250.2,176.2,2011,56.113,9.096
Denmark,229.4,173.5,2012,56.113,9.096
Denmark,180.2,168.4,2010,56.113,9.096
Denmark,226.6,168,2014,56.113,9.096
Denmark,192.9,167.5,2017,56.113,9.096
Denmark,187.6,156.6,2016,56.113,9.096
Denmark,168.8,116.6,2009,56.113,9.096
Denmark,170.9,102.6,2008,56.113,9.096
Denmark,140.8,101.3,2007,56.113,9.096
Denmark,142.8,59.4,2006,56.113,9.096
Denmark,127.2,36.7,2005,56.113,9.096
Denmark,102.5,25.6,2002,56.113,9.096
Denmark,112.2,19.1,2004,56.113,9.096
Denmark,95.8,15.4,2003,56.113,9.096
China,9540.1,45537.8,2018,35.1753,99.3877
China,8200.3,35766.8,2017,35.1753,99.3877
China,7008.9,30800.5,2016,35.1753,99.3877
China,10601.1,30624.3,2014,35.1753,99.3877
China,11422.5,29849.5,2013,35.1753,99.3877
China,7664.4,29410.9,2015,35.1753,99.3877
China,15049.9,29385.8,2012,35.1753,99.3877
China,16388.8,26212.2,2011,35.1753,99.3877
China,12574.6,20424.2,2010,35.1753,99.3877
China,9116.8,15247.2,2008,35.1753,99.3877
China,8145.2,14002.2,2009,35.1753,99.3877
China,7085.6,8904.6,2005,35.1753,99.3877
China,7693.5,8794.8,2006,35.1753,99.3877
China,7582.7,8557.9,2007,35.1753,99.3877
China,4830.2,7638.4,2004,35.1753,99.3877
China,4323.8,7240.2,2003,35.1753,99.3877
China,4107.2,6326.6,2002,35.1753,99.3877
Canada,464.3,2175,2005,59.2067,-111.1937
Canada,782.3,2067.4,2013,59.2067,-111.1937
Canada,960.3,2015.8,2011,59.2067,-111.1937
Canada,551,1924.4,2006,59.2067,-111.1937
Canada,645.4,1871.5,2008,59.2067,-111.1937
Canada,755,1860.2,2014,59.2067,-111.1937
Canada,913.9,1840.8,2018,59.2067,-111.1937
Canada,792.4,1810.8,2012,59.2067,-111.1937
Canada,436.5,1793.9,2004,59.2067,-111.1937
Canada,722.3,1609.3,2015,59.2067,-111.1937
Canada,821.2,1553.6,2017,59.2067,-111.1937
Canada,378,1383.3,2002,59.2067,-111.1937
Canada,732.4,1383,2016,59.2067,-111.1937
Canada,731.9,1108.4,2010,59.2067,-111.1937
Canada,382.1,1067.8,2003,59.2067,-111.1937
Canada,550.6,1055.6,2007,59.2067,-111.1937
Canada,512.5,992.5,2009,59.2067,-111.1937
Cambodia,525.6,33,2018,12.69,104.444
Cambodia,513.9,28.3,2017,12.69,104.444
Cambodia,426.9,25.3,2016,12.69,104.444
Cambodia,429.7,21.1,2015,12.69,104.444
Cambodia,415.8,18.7,2014,12.69,104.444
Cambodia,312.4,17.8,2013,12.69,104.444
Cambodia,292.2,11.6,2012,12.69,104.444
Cambodia,259.5,7.9,2011,12.69,104.444
Cambodia,79.9,5.8,2003,12.69,104.444
Cambodia,217.7,4.7,2010,12.69,104.444
Cambodia,71.8,3.8,2004,12.69,104.444
Cambodia,201.2,3.4,2009,12.69,104.444
Cambodia,103.6,3.1,2006,12.69,104.444
Cambodia,93.9,2.5,2005,12.69,104.444
Cambodia,174,2,2008,12.69,104.444
Cambodia,121.8,1.3,2007,12.69,104.444
Cambodia,68.8,1.3,2002,12.69,104.444
Brunei Darussalam,37.6,2930.5,2006,4.452,114.557
Brunei Darussalam,39.3,2629,2005,4.452,114.557
Brunei Darussalam,59.7,2416.6,2008,4.452,114.557
Brunei Darussalam,43.4,1864.7,2007,4.452,114.557
Brunei Darussalam,81.7,1018.4,2011,4.452,114.557
Brunei Darussalam,31.8,814,2004,4.452,114.557
Brunei Darussalam,61,666.2,2010,4.452,114.557
Brunei Darussalam,122.7,645.4,2013,4.452,114.557
Brunei Darussalam,74.9,639.6,2009,4.452,114.557
Brunei Darussalam,100.3,594.3,2014,4.452,114.557
Brunei Darussalam,30.4,498,2003,4.452,114.557
Brunei Darussalam,81.8,419.8,2012,4.452,114.557
Brunei Darussalam,32.1,184.9,2002,4.452,114.557
Brunei Darussalam,91.2,131.4,2015,4.452,114.557
Brunei Darussalam,88.7,87.7,2016,4.452,114.557
Brunei Darussalam,64.5,42.5,2017,4.452,114.557
Brunei Darussalam,61.2,20.1,2018,4.452,114.557
Belgium,1259.3,642.5,2013,50.6745,4.4588
Belgium,1241.3,637.5,2017,50.6745,4.4588
Belgium,1297.7,628.1,2012,50.6745,4.4588
Belgium,1351,620.2,2008,50.6745,4.4588
Belgium,1261.2,603.4,2018,50.6745,4.4588
Belgium,1374.7,593.6,2011,50.6745,4.4588
Belgium,1217.3,585.5,2014,50.6745,4.4588
Belgium,1113.3,559.4,2015,50.6745,4.4588
Belgium,1190.1,555.4,2010,50.6745,4.4588
Belgium,1125.7,491.1,2016,50.6745,4.4588
Belgium,1048.3,434.3,2009,50.6745,4.4588
Belgium,782.8,431,2002,50.6745,4.4588
Belgium,997.3,420.3,2005,50.6745,4.4588
Belgium,1136.3,376.3,2006,50.6745,4.4588
Belgium,915.6,372.3,2004,50.6745,4.4588
Belgium,902.9,351.4,2003,50.6745,4.4588
Belgium,1332.2,338.4,2007,50.6745,4.4588
Australia,1887.4,8021.7,2004,-24.578,133.582
Australia,2771.3,7525.3,2006,-24.578,133.582
Australia,2227.6,6986.9,2005,-24.578,133.582
Australia,2524.4,6008.9,2017,-24.578,133.582
Australia,2819.6,5825.5,2018,-24.578,133.582
Australia,4948.4,5647.5,2014,-24.578,133.582
Australia,1924.4,5491.3,2002,-24.578,133.582
Australia,1791.6,5313.4,2003,-24.578,133.582
Australia,4905.4,5297.6,2012,-24.578,133.582
Australia,3208.9,5260.9,2016,-24.578,133.582
Australia,5582.5,5177.1,2011,-24.578,133.582
Australia,4370.5,5038.2,2013,-24.578,133.582
Australia,3702.3,4815.8,2015,-24.578,133.582
Australia,4244.4,4099,2010,-24.578,133.582
Australia,4111,3997.5,2008,-24.578,133.582
Australia,3264.2,3436,2009,-24.578,133.582
Australia,3394.6,3004,2007,-24.578,133.582
AFRICA,0,7611.8,2002,8.7832,34.5085
AFRICA,1359.4,7170.9,2004,8.7832,34.5085
AFRICA,4782.1,6359.6,2018,8.7832,34.5085
AFRICA,0,6324.7,2003,8.7832,34.5085
AFRICA,5713.7,5703.4,2012,8.7832,34.5085
