MajorPorts,Province,Year,Latitude,Longitude,Values
Pomalaa,Sulawesi Tenggara,2012,-4.23145,121.57935,486.3
Pantoloan,Sulawesi Tengah,2012,-0.69477,119.84041,85.1
Panjang,Lampung,2012,5.466666667,105.3166667,3698.4
Pangkalan Susu,Sumatera Utara,2012,4.116666667,98.21666667,0
Palembang0Plaju,Sumatera Selatan,2012,2.984722222,104.8347222,642.4
Palembang (Kertapati),Sumatera Selatan,2012,-2.178201,104.952,99.4
Pakanbaru/Rumbai,Riau,2012,0.5566,101.4507,35.2
Padang/Teluk Bayur,Sumatera Barat,2012,-8.53394,115.5086,2362.9
Ngurah Rai 1,Bali,2012,-8.75,115.1667,301
Musi River/Boom Baru,Sumatera Selatan,2012,2.981111111,104.7816667,3629.9
Merak,Banten,2012,5.95,106,634
Mamuju,Sulawesi Barat,2012,-2.66758,118.8942,0
Malili,Sulawesi Selatan,2012,-2.66317,120.98228,949
Lingkas Tarakan,Kalimantan Utara,2012,3.283333333,117.6,738.7
Kupang,NTT,2012,-10.15375,123.59051,0
Kotabaru,Kalimantan Selatan,2012,3.233333333,116.2166667,4821.8
Kolaka,Sulawesi Tenggara,2012,4.0581,121.5851,107.9
Kabil/Panau,Kepulauan Riau,2012,1.352016667,104.1581722,1800.2
Hasanuddin 1,Sulawesi Selatan,2012,-5.14,119.4221,19.7
Dumai,Riau,2012,1.6861,101.44849,15516.8
Cirebon,Jawa Barat,2012,-6.70907,108.57073,4.3
Cilacap,Jawa Tengah,2012,-7.74913,109.01491,213.2
Cigading,Banten,2012,6.016666667,105.95,85.9
Bontang,Kalimantan Timur,2012,0.08553,117.48763,13577.9
Blang Lancang (Arun),Aceh,2012,5.233333333,97.1,1197.2
Bitung,Sulawesi Utara,2012,1.4389,125.19403,941.8
"Bintuni, Papua",Papua Barat,2012,0.82175,133.586425,3338.5
Bima,NTB,2012,-8.44602,118.71591,596.2
Benoa/Loloan,Bali,2012,-8.74329,115.20943,46
Belawan,Sumatera Utara,2012,3.79246,98.71623,8871.9
Batu Ampar,Kepulauan Riau,2012,1.169719444,104.02,3803.2
Banjarmasin,Kalimantan Selatan,2012,-3.33321,114.5551,4654.7
Balongan,Jawa Barat,2012,6.360561111,108.3902806,421.5
Balikpapan,Kalimantan Timur,2012,-1.25527,116.81594,3688.1
Bade Irian Jaya,Papua,2012,7.1687,139.5937,72.4
Atapupu,NTT,2012,8.9964,124.8617,7
Arjuna,Jawa Barat,2012,7.816666667,112.5666667,248.3
Ambon,Maluku,2012,-3.6941,128.17627,166.7
Amamapare,Papua,2012,-4.82653,136.84068,1996.8
Waingapu,NTT,2011,-9.63969,120.25055,0
Ujung Pandang,Sulawesi Selatan,2011,5.133333333,119.4,660.5
Tuban,Jawa Timur,2011,-6.786842,111.8976,2355.4
Ternate,Maluku Utara,2011,0.78066,127.38809,487.2
Tenau,NTT,2011,-10.1718,123.6075,7.7
Teluk Kasim/Salawati,Papua Barat,2011,1.3,131.0166667,34.2
Tanjung Santan,Kalimantan Timur,2011,8.733333333,109,1567.8
Tanjung Sangata,Kalimantan Timur,2011,0.366666667,117.5666667,3830.4
Tanjung Priok,DKI Jakarta,2011,-6.10492,106.87615,40079.1
