MajorPorts,Province,Year,Latitude,Longitude,Values
Bima,NTB,2014,-8.44602,118.71591,189.2
Benoa/Loloan,Bali,2014,-8.74329,115.20943,14.7
Belawan,Sumatera Utara,2014,3.79246,98.71623,7055.5
Batu Ampar,Kepulauan Riau,2014,1.169719444,104.02,709.6
Banjarmasin,Kalimantan Selatan,2014,-3.33321,114.5551,74404
Balongan,Jawa Barat,2014,6.360561111,108.3902806,485.8
Balikpapan,Kalimantan Timur,2014,-1.25527,116.81594,16448.7
Bade Irian Jaya,Papua,2014,7.1687,139.5937,78.9
Atapupu,NTT,2014,8.9964,124.8617,55.5
Arjuna,Jawa Barat,2014,7.816666667,112.5666667,734
Ambon,Maluku,2014,-3.6941,128.17627,245
Amamapare,Papua,2014,-4.82653,136.84068,528.2
Waingapu,NTT,2013,-9.63969,120.25055,0
Ujung Pandang,Sulawesi Selatan,2013,5.133333333,119.4,605.4
Tuban,Jawa Timur,2013,-6.786842,111.8976,100.8
Ternate,Maluku Utara,2013,0.78066,127.38809,14551.4
Tenau,NTT,2013,-10.1718,123.6075,10.7
Teluk Kasim/Salawati,Papua Barat,2013,1.3,131.0166667,55.6
Tanjung Santan,Kalimantan Timur,2013,8.733333333,109,1298.1
Tanjung Sangata,Kalimantan Timur,2013,0.366666667,117.5666667,51937.2
Tanjung Priok,DKI Jakarta,2013,-6.10492,106.87615,12015.9
Tanjung Pinang,Kepulauan Riau,2013,0.92914,104.45295,5031.6
Tanjung Perak,Jawa Timur,2013,7.216666667,112.7333333,7164.4
Tanjung Emas,Jawa Tengah,2013,6.883333333,110.4,2069.3
Sorong,Papua Barat,2013,-0.87802,131.24612,1071.7
Soekarno Hatta 1,DKI Jakarta,2013,5.1225,119.4078,134.9
Senipah,Kalimantan Timur,2013,0.95,117.1666667,1336
Sekupang,Kepulauan Riau,2013,1.133333333,103.9166667,341.5
Samarinda,Kalimantan Timur,2013,-0.50507,117.15071,91608.7
Pulau Sambu,Kepulauan Riau,2013,1.166666667,103.9,2737.2
Pontianak,Kalimantan Barat,2013,-0.01847,109.33552,4588.9
Pomalaa,Sulawesi Tenggara,2013,-4.23145,121.57935,3891
Pantoloan,Sulawesi Tengah,2013,-0.69477,119.84041,18.1
Panjang,Lampung,2013,5.466666667,105.3166667,9404.2
Pangkalan Susu,Sumatera Utara,2013,4.116666667,98.21666667,0
Palembang0Plaju,Sumatera Selatan,2013,2.984722222,104.8347222,1125.1
Palembang (Kertapati),Sumatera Selatan,2013,-2.178201,104.952,1376.1
Pakanbaru/Rumbai,Riau,2013,0.5566,101.4507,33.7
Padang/Teluk Bayur,Sumatera Barat,2013,-8.53394,115.5086,4595.6
Ngurah Rai 1,Bali,2013,-8.75,115.1667,18.8
Musi River/Boom Baru,Sumatera Selatan,2013,2.981111111,104.7816667,3794.6
Merak,Banten,2013,5.95,106,1176.5
Mamuju,Sulawesi Barat,2013,-2.66758,118.8942,0
Malili,Sulawesi Selatan,2013,-2.66317,120.98228,98.5
Lingkas Tarakan,Kalimantan Timur,2013,3.283333333,117.6,12765.5
Kupang,NTT,2013,-10.15375,123.59051,0
Kotabaru,Kalimantan Selatan,2013,3.233333333,116.2166667,77043
Kolaka,Sulawesi Tenggara,2013,4.0581,121.5851,4862
