week,category,weekly_rank,show_title,season_title,weekly_hours_viewed,cumulative_weeks_in_top_10
2021-10-10,TV (Non-English),3,Hometown Cha-Cha-Cha,Hometown Cha-Cha-Cha: Season 1,32890000,6
2021-10-10,TV (Non-English),4,The Chestnut Man,The Chestnut Man: Season 1,30300000,2
2021-10-10,TV (Non-English),5,Alice in Borderland,Alice in Borderland: Season 1,22220000,3
2021-10-10,TV (Non-English),6,Baki Hanma,Baki Hanma: Season 1,14560000,2
2021-10-10,TV (Non-English),7,Ganglands,Ganglands: Season 1,11210000,3
2021-10-10,TV (Non-English),8,Carinha de Anjo,Carinha de Anjo: Season 1,10240000,1
2021-10-10,TV (Non-English),9,Money Heist,Money Heist: Part 5,9730000,6
2021-10-10,TV (Non-English),10,"Nevertheless,","Nevertheless,: Season 1",8570000,6
2021-10-03,Films (English),1,The Guilty,,47600000,1
2021-10-03,Films (English),2,My Little Pony: A New Generation,,24510000,2
2021-10-03,Films (English),3,The Starling,,20130000,2
2021-10-03,Films (English),4,No One Gets Out Alive,,17010000,1
2021-10-03,Films (English),5,Britney Vs Spears,,16750000,1
2021-10-03,Films (English),6,Intrusion,,12050000,2
2021-10-03,Films (English),7,Grown Ups,,8130000,2
2021-10-03,Films (English),8,Kate,,5680000,4
2021-10-03,Films (English),9,Man on Fire,,4960000,3
2021-10-03,Films (English),10,Vivo,,4160000,7
2021-10-03,Films (Non-English),1,Friendzone,,8740000,1
2021-10-03,Films (Non-English),2,Sounds Like Love,,7100000,1
2021-10-03,Films (Non-English),3,Confessions of an Invisible Girl,,6350000,2
2021-10-03,Films (Non-English),4,The Seven Deadly Sins: Cursed by Light,,4650000,1
2021-10-03,Films (Non-English),5,Thalaivii,,3120000,1
2021-10-03,Films (Non-English),6,The Father Who Moves Mountains,,2940000,3
2021-10-03,Films (Non-English),7,Beauty and the Beast,,2740000,1
2021-10-03,Films (Non-English),8,Je Suis Karl,,2140000,1
2021-10-03,Films (Non-English),9,The Stronghold,,1840000,3
2021-10-03,Films (Non-English),10,Freaks – You're One of Us,,1450000,1
2021-10-03,TV (English),1,Sex Education,Sex Education: Season 3,72870000,3
2021-10-03,TV (English),2,Maid,Maid: Limited Series,61080000,1
2021-10-03,TV (English),3,Midnight Mass,Midnight Mass: Limited Series,59120000,2
2021-10-03,TV (English),4,Lucifer,Lucifer: Season 6,25110000,4
2021-10-03,TV (English),5,Grey's Anatomy,Grey's Anatomy: Season 17,18680000,1
2021-10-03,TV (English),6,Sex Education,Sex Education: Season 1,18420000,3
2021-10-03,TV (English),7,Sex Education,Sex Education: Season 2,18140000,2
2021-10-03,TV (English),8,Blood & Water,Blood & Water: Season 2,15870000,1
2021-10-03,TV (English),9,Clickbait,Clickbait: Limited Series,13210000,6
2021-10-03,TV (English),10,CoComelon,CoComelon: Season 3,10690000,5
2021-10-03,TV (Non-English),1,Squid Game,Squid Game: Season 1,571760000,3
2021-10-03,TV (Non-English),2,The Chestnut Man,The Chestnut Man: Season 1,31380000,1
2021-10-03,TV (Non-English),3,Hometown Cha-Cha-Cha,Hometown Cha-Cha-Cha: Season 1,28330000,5
2021-10-03,TV (Non-English),4,Ganglands,Ganglands: Season 1,27030000,2
2021-10-03,TV (Non-English),5,Alice in Borderland,Alice in Borderland: Season 1,26280000,2
2021-10-03,TV (Non-English),6,Baki Hanma,Baki Hanma: Season 1,20090000,1
2021-10-03,TV (Non-English),7,Money Heist,Money Heist: Part 5,14250000,5
2021-10-03,TV (Non-English),8,The Seven Deadly Sins,The Seven Deadly Sins: Dragon's Judgement,13420000,4
2021-10-03,TV (Non-English),9,Love 101,Love 101: Season 2,12600000,1
2021-10-03,TV (Non-English),10,Money Heist,Money Heist: Part 1,9370000,5
2021-09-26,Films (English),1,Intrusion,,30040000,1
2021-09-26,Films (English),2,The Starling,,16670000,1
2021-09-26,Films (English),3,My Little Pony: A New Generation,,15510000,1
2021-09-26,Films (English),4,Man on Fire,,12590000,2
2021-09-26,Films (English),5,Kate,,11280000,3
2021-09-26,Films (English),6,Grown Ups,,9250000,1
2021-09-26,Films (English),7,Schumacher,,8040000,2
2021-09-26,Films (English),8,Safe House,,6930000,2
2021-09-26,Films (English),9,Nightbooks,,6790000,2
2021-09-26,Films (English),10,The Marksman,,5210000,2
2021-09-26,Films (Non-English),1,The Father Who Moves Mountains,,16120000,2
2021-09-26,Films (Non-English),2,The Stronghold,,9490000,2
2021-09-26,Films (Non-English),3,Confessions of an Invisible Girl,,7130000,1
2021-09-26,Films (Non-English),4,Prey,,2330000,3
2021-09-26,Films (Non-English),5,Forgotten We'll Be,,1580000,1
2021-09-26,Films (Non-English),6,Ankahi Kahaniya,,1260000,1
2021-09-26,Films (Non-English),7,Blood Red Sky,,1120000,9
2021-09-26,Films (Non-English),8,Pinkfong & Baby Shark's Space Adventure,,1050000,2
2021-09-26,Films (Non-English),9,Xtreme,,1030000,3
2021-09-26,Films (Non-English),10,Rurouni Kenshin: The Beginning,,930000,7
2021-09-26,TV (English),1,Sex Education,Sex Education: Season 3,160420000,2
2021-09-26,TV (English),2,Lucifer,Lucifer: Season 6,42990000,3
2021-09-26,TV (English),3,Midnight Mass,Midnight Mass: Limited Series,33200000,1
2021-09-26,TV (English),4,Sex Education,Sex Education: Season 1,27380000,2
2021-09-26,TV (English),5,Clickbait,Clickbait: Limited Series,22150000,5
2021-09-26,TV (English),6,Sex Education,Sex Education: Season 2,22030000,1
2021-09-26,TV (English),7,The Circle,The Circle: Season 3,15850000,2
2021-09-26,TV (English),8,Monsters Inside: The 24 Faces of Billy Milligan,Monsters Inside: The 24 Faces of Billy Milligan: Limited Series,15150000,1
2021-09-26,TV (English),9,Good Girls,Good Girls: Season 4,12920000,4
2021-09-26,TV (English),10,Lucifer,Lucifer: Season 5,12180000,5
2021-09-26,TV (Non-English),1,Squid Game,Squid Game: Season 1,448730000,2
2021-09-26,TV (Non-English),2,Hometown Cha-Cha-Cha,Hometown Cha-Cha-Cha: Season 1,23360000,4
2021-09-26,TV (Non-English),3,Money Heist,Money Heist: Part 5,21830000,4
2021-09-26,TV (Non-English),4,Ganglands,Ganglands: Season 1,16260000,1
2021-09-26,TV (Non-English),5,The Seven Deadly Sins,The Seven Deadly Sins: Dragon's Judgement,14020000,3
2021-09-26,TV (Non-English),6,Money Heist,Money Heist: Part 1,12150000,4
2021-09-26,TV (Non-English),7,Jaguar,Jaguar: Season 1,11620000,1
2021-09-26,TV (Non-English),8,Alice in Borderland,Alice in Borderland: Season 1,10890000,1
2021-09-26,TV (Non-English),9,Money Heist,Money Heist: Part 4,8680000,4
2021-09-26,TV (Non-English),10,"Newly Rich, Newly Poor","Newly Rich, Newly Poor: Season 1",8410000,13
2021-09-19,Films (English),1,Kate,,37400000,2
2021-09-19,Films (English),2,Schumacher,,17290000,1
2021-09-19,Films (English),3,Man on Fire,,16160000,1
2021-09-19,Films (English),4,The Marksman,,14680000,1
2021-09-19,Films (English),5,Nightbooks,,13160000,1
2021-09-19,Films (English),6,The Equalizer 2,,12310000,1
2021-09-19,Films (English),7,Firedrake the Silver Dragon,,9650000,1
2021-09-19,Films (English),8,Safe House,,9060000,1
2021-09-19,Films (English),9,Afterlife of the Party,,8100000,3
2021-09-19,Films (English),10,First Kill,,6950000,1
2021-09-19,Films (Non-English),1,The Father Who Moves Mountains,,14830000,1
2021-09-19,Films (Non-English),2,Prey,,14270000,2
2021-09-19,Films (Non-English),3,The Stronghold,,10360000,1
2021-09-19,Films (Non-English),4,JJ+E,,3140000,2
2021-09-19,Films (Non-English),5,O Candidato Honesto 2,,2610000,1
2021-09-19,Films (Non-English),6,Ilhados,,2240000,1
2021-09-19,Films (Non-English),7,Love of My Loves,,1880000,2
2021-09-19,Films (Non-English),8,Kung Fu Hustle,,1800000,2
2021-09-19,Films (Non-English),9,The Women and the Murderer,,1470000,2
2021-09-19,Films (Non-English),10,Amores perros,,1450000,1
2021-09-19,TV (English),1,Sex Education,Sex Education: Season 3,125770000,1
2021-09-19,TV (English),2,Lucifer,Lucifer: Season 6,98140000,2
2021-09-19,TV (English),3,Clickbait,Clickbait: Limited Series,35020000,4
2021-09-19,TV (English),4,Good Girls,Good Girls: Season 4,19310000,3
2021-09-19,TV (English),5,Turning Point: 9/11 and the War on Terror,Turning Point: 9/11 and the War on Terror: Season 1,18720000,3
2021-09-19,TV (English),6,Lucifer,Lucifer: Season 5,16240000,4
2021-09-19,TV (English),7,Sex Education,Sex Education: Season 1,14880000,1
2021-09-19,TV (English),8,The Circle,The Circle: Season 3,14350000,1
2021-09-19,TV (English),9,Sharkdog,Sharkdog: Season 1,14180000,2
2021-09-19,TV (English),10,Lucifer,Lucifer: Season 1,11560000,1
2021-09-19,TV (Non-English),1,Squid Game,Squid Game: Season 1,63190000,1
2021-09-19,TV (Non-English),2,Money Heist,Money Heist: Part 5,39910000,3
2021-09-19,TV (Non-English),3,Money Heist,Money Heist: Part 1,19340000,3
2021-09-19,TV (Non-English),4,Hometown Cha-Cha-Cha,Hometown Cha-Cha-Cha: Season 1,18580000,3
2021-09-19,TV (Non-English),5,Hospital Playlist,Hospital Playlist: Season 2,13050000,7
2021-09-19,TV (Non-English),6,Money Heist,Money Heist: Part 4,12270000,3
2021-09-19,TV (Non-English),7,Money Heist,Money Heist: Part 2,11940000,2
2021-09-19,TV (Non-English),8,Money Heist,Money Heist: Part 3,11490000,3
2021-09-19,TV (Non-English),9,"Newly Rich, Newly Poor","Newly Rich, Newly Poor: Season 1",9320000,12
2021-09-19,TV (Non-English),10,Carrossel,,7870000,10
2021-09-12,Films (English),1,Kate,,38780000,1
2021-09-12,Films (English),2,Afterlife of the Party,,23790000,2
2021-09-12,Films (English),3,Worth,,13560000,2
2021-09-12,Films (English),4,He's All That,,10930000,3
2021-09-12,Films (English),5,SAS: Rise of the Black Swan,,9930000,3
2021-09-12,Films (English),6,In Time,,8930000,1
2021-09-12,Films (English),7,Noah,,7770000,1
2021-09-12,Films (English),8,Vivo,,6960000,6
2021-09-12,Films (English),9,Sweet Girl,,6570000,4
2021-09-12,Films (English),10,Monte Carlo,,6200000,1
2021-09-12,Films (Non-English),1,Prey,,13440000,1
2021-09-12,Films (Non-English),2,JJ+E,,5410000,1
2021-09-12,Films (Non-English),3,Kung Fu Hustle,,3250000,1
2021-09-12,Films (Non-English),4,Invasion,,2990000,2
2021-09-12,Films (Non-English),5,The Women and the Murderer,,2060000,1
2021-09-12,Films (Non-English),6,Blood Red Sky,,1780000,8
2021-09-12,Films (Non-English),7,Love of My Loves,,1530000,1
2021-09-12,Films (Non-English),8,The Secret Diary of an Exchange Student,,1450000,4
2021-09-12,Films (Non-English),9,Out of my league,,1440000,4
2021-09-12,Films (Non-English),10,Lassie Come Home,,1410000,1
2021-09-12,TV (English),1,Lucifer,Lucifer: Season 6,75940000,1
2021-09-12,TV (English),2,Clickbait,Clickbait: Limited Series,54420000,3
2021-09-12,TV (English),3,Turning Point: 9/11 and the War on Terror,Turning Point: 9/11 and the War on Terror: Season 1,37910000,2
2021-09-12,TV (English),4,Good Girls,Good Girls: Season 4,31750000,2
2021-09-12,TV (English),5,Sharkdog,Sharkdog: Season 1,19590000,1
2021-09-12,TV (English),6,The 100,The 100: Season 7,12990000,2
2021-09-12,TV (English),7,Lucifer,Lucifer: Season 5,12260000,3
2021-09-12,TV (English),8,Octonauts: Above & Beyond,Octonauts: Above & Beyond: Season 1,11730000,1
2021-09-12,TV (English),9,Dive Club,Dive Club: Season 1,11480000,1
2021-09-12,TV (English),10,Manifest,Manifest: Season 3,11150000,3
2021-09-12,TV (Non-English),1,Money Heist,Money Heist: Part 5,123170000,2
2021-09-12,TV (Non-English),2,Money Heist,Money Heist: Part 1,38030000,2
2021-09-12,TV (Non-English),3,Money Heist,Money Heist: Part 2,16720000,1
2021-09-12,TV (Non-English),4,Money Heist,Money Heist: Part 4,16720000,2
2021-09-12,TV (Non-English),5,Hometown Cha-Cha-Cha,Hometown Cha-Cha-Cha: Season 1,14870000,2
2021-09-12,TV (Non-English),6,Money Heist,Money Heist: Part 3,14410000,2
2021-09-12,TV (Non-English),7,Hospital Playlist,Hospital Playlist: Season 2,11590000,6
2021-09-12,TV (Non-English),8,Into the Night,Into the Night: Season 2,10630000,1
2021-09-12,TV (Non-English),9,"Newly Rich, Newly Poor","Newly Rich, Newly Poor: Season 1",10350000,11
2021-09-12,TV (Non-English),10,Hotel Del Luna,Hotel Del Luna: Season 1,9980000,1
2021-09-05,Films (English),1,He's All That,,36730000,2
2021-09-05,Films (English),2,SAS: Rise of the Black Swan,,32730000,2
2021-09-05,Films (English),3,Afterlife of the Party,,26710000,1
2021-09-05,Films (English),4,Sweet Girl,,13390000,3
2021-09-05,Films (English),5,Vivo,,9380000,5
2021-09-05,Films (English),6,The Loud House Movie,,6640000,3
2021-09-05,Films (English),7,Worth,,6480000,1
2021-09-05,Films (English),8,The Secret Life of Pets,,6450000,3
2021-09-05,Films (English),9,Welcome Home Roscoe Jenkins,,6270000,1
2021-09-05,Films (English),10,Green Lantern,,6230000,1
2021-09-05,Films (Non-English),1,Invasion,,7340000,1
2021-09-05,Films (Non-English),2,Out of my league,,2270000,3
2021-09-05,Films (Non-English),3,The Secret Diary of an Exchange Student,,2100000,3
2021-09-05,Films (Non-English),4,Blood Red Sky,,2080000,7
2021-09-05,Films (Non-English),5,Flu,,1830000,1
2021-09-05,Films (Non-English),6,Black Island,,1420000,3
2021-09-05,Films (Non-English),7,Rurouni Kenshin: The Beginning,,1330000,6
2021-09-05,Films (Non-English),8,Thimmarusu,,1220000,1
2021-09-05,Films (Non-English),9,I Don't Know Whether to Slit My Wrists or Leave Them Long,,1130000,1
2021-09-05,Films (Non-English),10,Pinkfong & Baby Shark's Space Adventure,,1120000,1
2021-09-05,TV (English),1,Clickbait,Clickbait: Limited Series,76540000,2
2021-09-05,TV (English),2,Good Girls,Good Girls: Season 4,37580000,1
2021-09-05,TV (English),3,Turning Point: 9/11 and the War on Terror,Turning Point: 9/11 and the War on Terror: Season 1,24050000,1
2021-09-05,TV (English),4,Manifest,Manifest: Season 3,15660000,2
2021-09-05,TV (English),5,The 100,The 100: Season 7,13590000,1
2021-09-05,TV (English),6,Outer Banks,Outer Banks: Season 2,12910000,6
2021-09-05,TV (English),7,CoComelon,CoComelon: Season 3,11050000,4
2021-09-05,TV (English),8,Manifest,Manifest: Season 1,10320000,6
2021-09-05,TV (English),9,Good Girls,Good Girls: Season 1,9590000,1
2021-09-05,TV (English),10,CoComelon,CoComelon: Season 1,9140000,1
2021-09-05,TV (Non-English),1,Money Heist,Money Heist: Part 5,201910000,1
2021-09-05,TV (Non-English),2,Money Heist,Money Heist: Part 1,22710000,1
2021-09-05,TV (Non-English),3,D.P.,D.P.: Season 1,19170000,2
2021-09-05,TV (Non-English),4,Money Heist,Money Heist: Part 4,14870000,1
2021-09-05,TV (Non-English),5,The Snitch Cartel: Origins,The Snitch Cartel: Origins: Season 1,11530000,6
2021-09-05,TV (Non-English),6,"Newly Rich, Newly Poor","Newly Rich, Newly Poor: Season 1",11100000,10
2021-09-05,TV (Non-English),7,Hometown Cha-Cha-Cha,Hometown Cha-Cha-Cha: Season 1,9630000,1
2021-09-05,TV (Non-English),8,Carrossel,,9010000,9
2021-09-05,TV (Non-English),9,"Yo soy Betty, la fea","Yo soy Betty, la fea: Season 1",7200000,2
2021-09-05,TV (Non-English),10,Money Heist,Money Heist: Part 3,7070000,1
2021-08-29,Films (English),1,Sweet Girl,,48140000,2
2021-08-29,Films (English),2,He's All That,,42810000,1
2021-08-29,Films (English),3,SAS: Rise of the Black Swan,,35650000,1
2021-08-29,Films (English),4,The Loud House Movie,,16910000,2
2021-08-29,Films (English),5,The Old Ways,,13720000,1
2021-08-29,Films (English),6,Vivo,,13430000,4
2021-08-29,Films (English),7,The Witcher: Nightmare of the Wolf,,13300000,1
2021-08-29,Films (English),8,The Secret Life of Pets,,10860000,2
2021-08-29,Films (English),9,The Kissing Booth 3,,9560000,3
2021-08-29,Films (English),10,Tomb Raider,,8430000,1
2021-08-29,Films (Non-English),1,Black Island,,6570000,2
2021-08-29,Films (Non-English),2,Out of my league,,5790000,2
2021-08-29,Films (Non-English),3,The Secret Diary of an Exchange Student,,5090000,2
2021-08-29,Films (Non-English),4,Blood Red Sky,,3020000,6
2021-08-29,Films (Non-English),5,Rurouni Kenshin: The Beginning,,2280000,5
2021-08-29,Films (Non-English),6,The Last Mercenary,,2000000,5
2021-08-29,Films (Non-English),7,El infierno,,1560000,4
2021-08-29,Films (Non-English),8,Mimi,,1510000,5
2021-08-29,Films (Non-English),9,Bartkowiak,,1460000,3
2021-08-29,Films (Non-English),10,Shiny_Flakes: The Teenage Drug Lord,,1440000,4
2021-08-29,TV (English),1,Clickbait,Clickbait: Limited Series,51280000,1
2021-08-29,TV (English),2,Outer Banks,Outer Banks: Season 2,20790000,5
2021-08-29,TV (English),3,Manifest,Manifest: Season 3,17740000,1
2021-08-29,TV (English),4,The Chair,The Chair: Season 1,14020000,1
2021-08-29,TV (English),5,Outer Banks,Outer Banks: Season 1,13860000,5
2021-08-29,TV (English),6,Manifest,Manifest: Season 1,12410000,5
2021-08-29,TV (English),7,For Life,For Life: Season 1,11180000,3
2021-08-29,TV (English),8,CoComelon,CoComelon: Season 3,11030000,3
2021-08-29,TV (English),9,All American,All American: Season 3,10480000,5
2021-08-29,TV (English),10,Hit & Run,Hit & Run: Season 1,10090000,4
2021-08-29,TV (Non-English),1,The Snitch Cartel: Origins,The Snitch Cartel: Origins: Season 1,15480000,5
2021-08-29,TV (Non-English),2,"Newly Rich, Newly Poor","Newly Rich, Newly Poor: Season 1",12120000,9
2021-08-29,TV (Non-English),3,AlRawabi School for Girls,AlRawabi School for Girls: Limited Series,11500000,3
2021-08-29,TV (Non-English),4,Hospital Playlist,Hospital Playlist: Season 2,10980000,5
2021-08-29,TV (Non-English),5,Carrossel,,9750000,8
2021-08-29,TV (Non-English),6,Valeria,Valeria: Season 2,9020000,3
2021-08-29,TV (Non-English),7,D.P.,D.P.: Season 1,8430000,1
2021-08-29,TV (Non-English),8,Open Your Eyes,Open Your Eyes: Season 1,8220000,1
2021-08-29,TV (Non-English),9,The Cook of Castamar,The Cook of Castamar: Season 1,7550000,8
2021-08-29,TV (Non-English),10,"Yo soy Betty, la fea","Yo soy Betty, la fea: Season 1",7340000,1
2021-08-22,Films (English),1,Sweet Girl,,57160000,1
2021-08-22,Films (English),2,The Kissing Booth 3,,26170000,2
2021-08-22,Films (English),3,Beckett,,23870000,2
2021-08-22,Films (English),4,Vivo,,21960000,3
2021-08-22,Films (English),5,The Loud House Movie,,13860000,1
2021-08-22,Films (English),6,The Secret Life of Pets,,10110000,1
2021-08-22,Films (English),7,Hotel Transylvania 3: Summer Vacation,,8550000,3
2021-08-22,Films (English),8,The Girl Next Door,,6900000,1
2021-08-22,Films (English),9,Alvin and the Chipmunks: Chipwrecked,,6870000,1
2021-08-22,Films (English),10,Resort to Love,,6320000,4
2021-08-22,Films (Non-English),1,Black Island,,17330000,1
2021-08-22,Films (Non-English),2,The Secret Diary of an Exchange Student,,7910000,1
2021-08-22,Films (Non-English),3,Out of my league,,7120000,1
2021-08-22,Films (Non-English),4,Blood Red Sky,,4520000,5
2021-08-22,Films (Non-English),5,Rurouni Kenshin: The Beginning,,3630000,4
2021-08-22,Films (Non-English),6,The Last Mercenary,,3340000,4
2021-08-22,Films (Non-English),7,Sputnik,,3290000,1
2021-08-22,Films (Non-English),8,El infierno,,2650000,3
2021-08-22,Films (Non-English),9,Mimi,,2340000,4
2021-08-22,Films (Non-English),10,Shiny_Flakes: The Teenage Drug Lord,,2250000,3
2021-08-22,TV (English),1,Outer Banks,Outer Banks: Season 2,31800000,4
2021-08-22,TV (English),2,Hit & Run,Hit & Run: Season 1,20660000,3
2021-08-22,TV (English),3,Outer Banks,Outer Banks: Season 1,20300000,4
2021-08-22,TV (English),4,All American,All American: Season 3,14990000,4
2021-08-22,TV (English),5,For Life,For Life: Season 1,14540000,2
2021-08-22,TV (English),6,Bake Squad,Bake Squad: Season 1,13220000,1
2021-08-22,TV (English),7,Gabby's Dollhouse,Gabby's Dollhouse: Season 2,12180000,2
2021-08-22,TV (English),8,Brand New Cherry Flavor,Brand New Cherry Flavor: Limited Series,11140000,1
2021-08-22,TV (English),9,CoComelon,CoComelon: Season 3,10990000,2
2021-08-22,TV (English),10,The Good Doctor,The Good Doctor: Season 1,10430000,6
2021-08-22,TV (Non-English),1,The Snitch Cartel: Origins,The Snitch Cartel: Origins: Season 1,19260000,4
2021-08-22,TV (Non-English),2,AlRawabi School for Girls,AlRawabi School for Girls: Limited Series,18070000,2
2021-08-22,TV (Non-English),3,Valeria,Valeria: Season 2,15640000,2
2021-08-22,TV (Non-English),4,Gone for Good,Gone for Good: Limited Series,14920000,2
2021-08-22,TV (Non-English),5,"Newly Rich, Newly Poor","Newly Rich, Newly Poor: Season 1",12080000,8
2021-08-22,TV (Non-English),6,Hospital Playlist,Hospital Playlist: Season 2,10340000,4
2021-08-22,TV (Non-English),7,Carrossel,,9860000,7
2021-08-22,TV (Non-English),8,"Nevertheless,","Nevertheless,: Season 1",9030000,5
2021-08-22,TV (Non-English),9,The Cook of Castamar,The Cook of Castamar: Season 1,8820000,7
2021-08-22,TV (Non-English),10,Control Z,Control Z: Season 2,8250000,3
2021-08-15,Films (English),1,The Kissing Booth 3,,90860000,1
2021-08-15,Films (English),2,Vivo,,37050000,2
2021-08-15,Films (English),3,Beckett,,23580000,1
2021-08-15,Films (English),4,Hotel Transylvania 3: Summer Vacation,,21460000,2
2021-08-15,Films (English),5,Aftermath,,15870000,2
2021-08-15,Films (English),6,Resort to Love,,9860000,3
2021-08-15,Films (English),7,The Kissing Booth,,8590000,1
2021-08-15,Films (English),8,The Kissing Booth 2,,8370000,1
2021-08-15,Films (English),9,Dead Man Down,,7580000,2
2021-08-15,Films (English),10,Untold: Malice at the Palace,,6450000,1
2021-08-15,Films (Non-English),1,The Swarm,,11470000,2
2021-08-15,Films (Non-English),2,The Last Mercenary,,7570000,3
2021-08-15,Films (Non-English),3,Rurouni Kenshin: The Beginning,,6550000,3
2021-08-15,Films (Non-English),4,Blood Red Sky,,6470000,4
2021-08-15,Films (Non-English),5,El infierno,,4890000,2
2021-08-15,Films (Non-English),6,Mimi,,3630000,3
2021-08-15,Films (Non-English),7,Shiny_Flakes: The Teenage Drug Lord,,3440000,2
2021-08-15,Films (Non-English),8,Rurouni Kenshin: The Final,,2820000,3
2021-08-15,Films (Non-English),9,Navarasa,Navarasa: Volume 1,2800000,2
2021-08-15,Films (Non-English),10,Kingdom: Ashin of the North,,2190000,4
2021-08-15,TV (English),1,Outer Banks,Outer Banks: Season 2,51600000,3
2021-08-15,TV (English),2,Hit & Run,Hit & Run: Season 1,45190000,2
2021-08-15,TV (English),3,Outer Banks,Outer Banks: Season 1,30390000,3
2021-08-15,TV (English),4,All American,All American: Season 3,20870000,3
2021-08-15,TV (English),5,Cocaine Cowboys: The Kings of Miami,Cocaine Cowboys: The Kings of Miami: Limited Series,13870000,2
2021-08-15,TV (English),6,For Life,For Life: Season 1,13790000,1
2021-08-15,TV (English),7,Virgin River,Virgin River: Season 3,13220000,6
2021-08-15,TV (English),8,Gabby's Dollhouse,Gabby's Dollhouse: Season 2,13170000,1
2021-08-15,TV (English),9,Sex/Life,Sex/Life: Season 1,12190000,7
2021-08-15,TV (English),10,The Good Doctor,The Good Doctor: Season 1,11810000,5
2021-08-15,TV (Non-English),1,The Snitch Cartel: Origins,The Snitch Cartel: Origins: Season 1,23840000,3
2021-08-15,TV (Non-English),2,Control Z,Control Z: Season 2,16400000,2
2021-08-15,TV (Non-English),3,SHAMAN KING,SHAMAN KING: Season 1,12970000,1
2021-08-15,TV (Non-English),4,"Newly Rich, Newly Poor","Newly Rich, Newly Poor: Season 1",12750000,7
2021-08-15,TV (Non-English),5,The Cook of Castamar,The Cook of Castamar: Season 1,11950000,6
2021-08-15,TV (Non-English),6,AlRawabi School for Girls,AlRawabi School for Girls: Limited Series,11620000,1
2021-08-15,TV (Non-English),7,Carrossel,,10640000,6
2021-08-15,TV (Non-English),8,Gone for Good,Gone for Good: Limited Series,9750000,1
2021-08-15,TV (Non-English),9,Valeria,Valeria: Season 2,9600000,1
2021-08-15,TV (Non-English),10,Hospital Playlist,Hospital Playlist: Season 2,9500000,3
2021-08-08,Films (English),1,Aftermath,,24200000,1
2021-08-08,Films (English),2,Resort to Love,,23480000,2
2021-08-08,Films (English),3,Vivo,,21940000,1
2021-08-08,Films (English),4,The Vault,,10870000,1
2021-08-08,Films (English),5,The Losers,,8040000,1
2021-08-08,Films (English),6,The Last Letter From Your Lover,,6850000,3
2021-08-08,Films (English),7,Hotel Transylvania 3: Summer Vacation,,6250000,1
2021-08-08,Films (English),8,Dead Man Down,,5840000,1
2021-08-08,Films (English),9,Wish Dragon,,5150000,5
2021-08-08,Films (English),10,World Trade Center,,5050000,1
2021-08-08,Films (Non-English),1,The Last Mercenary,,23890000,2
2021-08-08,Films (Non-English),2,Rurouni Kenshin: The Beginning,,15080000,2
2021-08-08,Films (Non-English),3,Blood Red Sky,,13300000,3
2021-08-08,Films (Non-English),4,The Swarm,,11380000,1
2021-08-08,Films (Non-English),5,Mimi,,5140000,2
2021-08-08,Films (Non-English),6,Bartkowiak,,4570000,2
2021-08-08,Films (Non-English),7,El infierno,,4420000,1
2021-08-08,Films (Non-English),8,Navarasa,Navarasa: Volume 1,3520000,1
2021-08-08,Films (Non-English),9,Kingdom: Ashin of the North,,3450000,3
2021-08-08,Films (Non-English),10,Shiny_Flakes: The Teenage Drug Lord,,3340000,1
2021-08-08,TV (English),1,Outer Banks,Outer Banks: Season 2,105330000,2
2021-08-08,TV (English),2,Outer Banks,Outer Banks: Season 1,45080000,2
2021-08-08,TV (English),3,All American,All American: Season 3,33020000,2
2021-08-08,TV (English),4,Hit & Run,Hit & Run: Season 1,23570000,1
2021-08-08,TV (English),5,Cocaine Cowboys: The Kings of Miami,Cocaine Cowboys: The Kings of Miami: Limited Series,18890000,1
2021-08-08,TV (English),6,Virgin River,Virgin River: Season 3,18840000,5
2021-08-08,TV (English),7,Top Secret UFO Projects: Declassified,Top Secret UFO Projects: Declassified: Season 1,17040000,1
2021-08-08,TV (English),8,Sex/Life,Sex/Life: Season 1,15500000,6
2021-08-08,TV (English),9,The Good Doctor,The Good Doctor: Season 1,14090000,4
2021-08-08,TV (English),10,Car Masters: Rust to Riches,Car Masters: Rust to Riches: Season 3,13930000,1
2021-08-08,TV (Non-English),1,The Snitch Cartel: Origins,The Snitch Cartel: Origins: Season 1,26880000,2
2021-08-08,TV (Non-English),2,Control Z,Control Z: Season 2,25430000,1
2021-08-08,TV (Non-English),3,The Cook of Castamar,The Cook of Castamar: Season 1,15800000,5
2021-08-08,TV (Non-English),4,"Newly Rich, Newly Poor","Newly Rich, Newly Poor: Season 1",14510000,6
2021-08-08,TV (Non-English),5,Carrossel,,11280000,5
2021-08-08,TV (Non-English),6,Hunter X Hunter (2011),Hunter X Hunter (2011): Season 5,9890000,1
2021-08-08,TV (Non-English),7,Control Z,Control Z: Season 1,8580000,1
2021-08-08,TV (Non-English),8,How to Sell Drugs Online (Fast),How to Sell Drugs Online (Fast): Season 3,8580000,2
2021-08-08,TV (Non-English),9,"Nevertheless,","Nevertheless,: Season 1",7960000,4
2021-08-08,TV (Non-English),10,Too Hot to Handle: Brazil,Too Hot to Handle: Brazil: Season 1,7470000,3
2021-08-01,Films (English),1,Resort to Love,,28050000,1
2021-08-01,Films (English),2,The Last Letter From Your Lover,,18890000,2
2021-08-01,Films (English),3,Trollhunters: Rise of the Titans,,8960000,2
